country,designation,points,price,province,variety,winery,fill,
US,Roger Rose Vineyard,91,2013,California,Chardonnay,Blair,#91C5AA,
US,Intrepid,92,750,California,Syrah,Law,#91C5AA,
US,Family Reserve,98,625,California,Cabernet,Yao Ming,#91C5AA,
US,Family Reserve,97,625,California,Cabernet,Yao Ming,#91C5AA,
US,Family Reserve,97,625,California,Cabernet,Yao ming,#91C5AA,
US,Family Reserve,94,625,California,Cabernet,Yao Ming,#91C5AA,
US,Red Wine,96,500,California,Cabernet,Screaming Eagle,#91C5AA,
US,Double Plus Estate Grown,93,500,California,Cabernet,Hewitt,#91C5AA,
US,La Muse,100,450,California,Bordeaux,Verite,#91C5AA,
US,Le Desir,97,450,California,Bordeaux,Verite,#91C5AA,
US,Le Desir,97,450,California,Bordeaux,Verite,#91C5AA,
US,La Joie,96,450,California,Bordeaux,Verite,#91C5AA,
US,La Joie,94,450,California,Bordeaux,Verite,#91C5AA,
US,La Muse,93,450,California,Bordeaux,Verite,#91C5AA,
US,JG's Joie du Vin,96,400,California,Cabernet,Clos du Val,#91C5AA,
US,The Surrealist,90,350,California,Bordeaux,JCB,#91C5AA,
US,The Bishop,96,325,California,Cabernet,Hall,#91C5AA,
US,Rainin Vineyard,95,325,California,Cabernet,Hall,#91C5AA,
US,The Bishop,95,325,California,Cabernet,Hall,#91C5AA,
US,Rainin Vineyard,95,325,California,Cabernet,Hall,#91C5AA,
US,Grand Vin,92,325,California,Cabernet,Kapcsandy Family Winery,#91C5AA,
US,ERA,99,300,California,Bordeaux,Alpha Omega,#91C5AA,
US,La Joie,98,300,California,Bordeaux,Verite,#91C5AA,
US,La Joie,98,300,California,Bordeaux,Verita,#91C5AA,
US,Le Desir,95,300,California,Bordeaux,Verita,#91C5AA,
US,Ark Vineyard,95,300,California,Cabernet,Hundred Acre,#91C5AA,
US,Few and Far Between Vineyard,94,300,California,Cabernet,Hundred Acre,#91C5AA,
US,Few and Far Between Vineyard,94,300,California,Cabernet,Hundred Acre,#91C5AA,
US,Few and Far Between Vineyard,94,300,California,Cabernet,Hundred Acre,#91C5AA,
US,Kayli morgan Vineyard,94,300,California,Cabernet,Hundred Acre,#91C5AA,
US,IX Estate,99,290,California,Red Blend,Colgin,#91C5AA,
US,IX Estate,99,290,California,Red Blend,Colgin,#91C5AA,
US,IX Estate,94,290,California,Red Blend,Colgin,#91C5AA,
US,IX Estate,94,290,California,Red Blend,Colgin,#91C5AA,
US,Eisele,98,275,California,Cabernet,Araujo,#91C5AA,
US,Vecina,97,275,California,Bordeaux,BOND,#91C5AA,
US,Beckstoffer To Kalon Vineyard,96,275,California,Cabernet,Paul Hobbs,#91C5AA,
US,Melbury,95,275,California,Bordeaux,BOND,#91C5AA,
US,melbury,95,275,California,Bordeaux,BOND,#91C5AA,
US,Pluribus,94,275,California,Bordeaux,BOND,#91C5AA,
US,St. Eden,94,275,California,Bordeaux,BOND,#91C5AA,
US,Pluribus,94,275,California,Bordeaux,BOND,#91C5AA,
US,St. Eden,94,275,California,Bordeaux,BOND,#91C5AA,
US,melbury,93,275,California,Bordeaux,BOND,#91C5AA,
US,Monogram,93,275,Oregon,Pinot Noir,Domaine Serene,#91C5AA,
US,Vecina,92,275,California,Bordeaux,BOND,#91C5AA,
US,Pluribus,91,275,California,Bordeaux,BOND,#91C5AA,
