country,designation,points,price,province,variety,winery
US,Martha's Vineyard,96,235,California,Cabernet Sauvignon,Heitz
Spain,Carodorum Seleccion Especial Reserva,96,110,Northern Spain,Tinta de Toro,Bodega Carmen Rodriguez
US,Special Selected Late Harvest,96,90,California,Sauvignon Blanc,Macauley
US,Reserve,96,65,Oregon,Pinot Noir,Ponzi
France,La Br没lade,95,66,Provence,Provence red blend,Domaine de la B茅gude
Spain,Numanthia,95,73,Northern Spain,Tinta de Toro,Numanthia
Spain,San Romon,95,65,Northern Spain,Tinta de Toro,Maurodos
Spain,Carodorum _nico Crianza,95,110,Northern Spain,Tinta de Toro,Bodega Carmen Rodr铆guez
US,Silice,95,65,Oregon,Pinot Noir,Bergstr枚m
US,Gap's Crown Vineyard,95,60,California,Pinot Noir,Blue Farm
Italy,Ronco della Chiesa,95,80,Northeastern Italy,Friulano,Borgo del Tiglio
US,Estate Vineyard Wadensvil Block,95,48,Oregon,Pinot Noir,Patricia Green Cellars
US,Weber Vineyard,95,48,Oregon,Pinot Noir,Patricia Green Cellars
France,Ch芒teau Montus Prestige,95,90,Southwest France,Tannat,Vignobles Brumont
US,Grace Vineyard,95,185,Oregon,Pinot Noir,Domaine Serene
US,Sigrid,95,90,Oregon,Chardonnay,Bergstr枚m
US,Rainin Vineyard,95,325,California,Cabernet Sauvignon,Hall
Spain,6 A帽os Reserva Premium,95,80,Northern Spain,Tempranillo,Valduero
France,Le Pigeonnier,95,290,Southwest France,Malbec,Ch芒teau Lagr茅zette
US,Gap's Crown Vineyard,95,75,California,Pinot Noir,Gary Farrell
US,Grignolino,95,24,California,Ros茅,Heitz
Spain,Prado Enea Gran Reserva,95,79,Northern Spain,Tempranillo Blend,Muga
Spain,Termanthia,95,220,Northern Spain,Tinta de Toro,Numanthia
US,Giallo Solare,95,60,California,Chardonnay,Center of Effort
US,R-Bar-R Ranch,95,45,California,Pinot Noir,Comartin
New Zealand,Mat茅's Vineyard,94,57,Kumeu,Chardonnay,Kumeu River
US,Shea Vineyard,94,62,Oregon,Pinot Noir,Bergstr枚m
US,Abetina,94,105,Oregon,Pinot Noir,Ponzi
US,Garys' Vineyard,94,60,California,Pinot Noir,Roar
US,The Funk Estate,94,60,Washington,Syrah,Saviah
Bulgaria,Bergul茅,90,15,Bulgaria,Mavrud,Villa Melnik
US,Babushka,90,37,California,Chardonnay,Zepaltas
Italy,Vigna Piaggia,90,,Tuscany,Sangiovese,Abbadia Ardenga
France,Nonpareil Tr茅sor Ros茅 Brut,90,22,France Other,Sparkling Blend,Bouvet-Ladubay
US,Conner Lee Vineyard,90,42,Washington,Chardonnay,Buty
Italy,Riserva,90,135,Tuscany,Sangiovese,Carillon
France,,90,60,Rh么ne Valley,Rh么ne-style White Blend,Clos de L'Oratoire des Papes
Italy,,90,29,Tuscany,Sangiovese,Avignonesi
Italy,,90,23,Tuscany,Sangiovese,Casina di Cornia
Italy,Riserva,90,29,Tuscany,Red Blend,Castello di Monterinaldi
Spain,Amandi,90,17,Galicia,Menc铆a,Don Bernardino
Spain,Alfonso Oloroso Seco,90,26,Andalucia,Palomino,Gonz谩lez Byass
US,Private Reserve,90,55,Idaho,Petite Sirah,Huston
Italy,Riserva,90,39,Tuscany,Red Blend,Rignana
France,Coteaux,90,69,Rh么ne Valley,Syrah,Tardieu-Laurent
Italy,Vigneto Odoardo Beccari Riserva,90,30,Tuscany,Red Blend,Vignavecchia
Italy,Poggio alle Mura,90,90,Tuscany,Sangiovese,Banfi
US,Estate Grown,90,60,California,Cabernet Sauvignon,Brandlin
Italy,,90,50,Tuscany,Sangiovese,Brunelli Martoccia
US,,90,40,Washington,Cabernet Sauvignon,Canvasback
Italy,Riserva,90,100,Tuscany,Sangiovese,Capanne Ricci
France,,90,68,Burgundy,Chardonnay,Chartron et Tr茅buchet
France,Les 7 Hommes,90,42,Loire Valley,Sauvignon Blanc,Cherrier Fr猫res
France,L'In茅dit,90,28,Loire Valley,Pinot Noir,Clement et Florian Berthier
US,,90,18,California,Chardonnay,De Loach
US,Four Flags,90,69,Washington,Cabernet Sauvignon,DeLille
